ID,NOM,PAYS,REGION,APPELLATION,PRODUCTEUR,ANNEE
1285,Jacques Cacheux,France,Burgundy,Echezeaux Grand Cru,Jacques Cacheux,2005
1286,Domaine Leroy,France,Burgundy,Clos de Vougeot Grand Cru,Domaine Leroy,2001
1289,Bel Air-Marquis d'Aligre,France,Bordeaux Left Bank,Margaux,Bel Air-Marquis d'Aligre,1970
1290,André Brunel,France,Southern Rhône,Les Cailloux Cuvée Centenaire Châteauneuf-du-Pape,André Brunel,1990
1292,M. Chapoutier,France,Northern Rhône,Ermitage Les Greffieux,M. Chapoutier,2006
1293,Diamond Creek,United States,Napa Valley,Gravelly Meadow Cabernet Sauvignon,Diamond Creek,2018
1295,Domaine Trapet,France,Burgundy,Latricières-Chambertin Grand Cru,Domaine Trapet,2010
1296,Palmaz,United States,Napa Valley,Gaston Cabernet Sauvignon,Palmaz,2017
1297,Hartenberg,South Africa,South African,The Stork,Hartenberg,2017
1298,E. Guigal,France,Northern Rhône,Côte-Rôtie Blonde La Mouline ,E. Guigal,2012
1299,Golan Heights Winery,Israel,Israeli,Yarden Yonatan Vineyard Cabernet Sauvignon,Golan Heights Winery,2010
1300,Domaine Bruno Clair,France,Burgundy,Chambertin Clos de Bèze Grand Cru,Domaine Bruno Clair,2011
1305,Rocche dei Manzoni,Italy,Italian,Vigna Cappella di S. Stefano Perno Barolo,Rocche dei Manzoni,2015
1310,The Hess Collection,United States,Napa Valley,The Lion Mount Veeder Estate Cabernet Sauvignon,The Hess Collection,2016
1311,Domaine Lionnet,France,Northern Rhône,Terre Brûlée Cornas,Domaine Lionnet,2005
1312,Wendouree,Australia,Australian,Shiraz,Wendouree,2010
1313,Domaine Faiveley,France,Burgundy,Mazis-Chambertin Grand Cru,Domaine Faiveley,2016
1314,Château de la Tour,France,Burgundy,Clos Vougeot Grand Cru,Château de la Tour,2018
1316,Château Magdelaine,France,Bordeaux Right Bank,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Magdelaine,1983
1317,Sherwin Family Vineyards,United States,Napa Valley,Estate Cabernet Sauvignon,Sherwin Family Vineyards,2017
1320,Philippe Livera (Domaine des Tilleuls),France,Burgundy,Gevrey-Chambertin 'Les Evocelles',Philippe Livera (Domaine des Tilleuls),2017
1324,René Bouvier,France,Burgundy,Charmes-Chambertin Grand Cru,René Bouvier,2014
1325,Domaine Rossignol-Trapet,France,Burgundy,Chapelle-Chambertin Grand Cru,Domaine Rossignol-Trapet,2017
1326,Méo-Camuzet,France,Burgundy,Echezeaux Grand Cru 'Les Rouges du Bas',Méo-Camuzet,2012
1327,Zuccardi,Argentina,Argentinian,Finca Piedra Infinita Supercal,Zuccardi,2017
1332,Domaine du Comte Liger-Belair,France,Burgundy,Vosne-Romanée Premier Cru Aux Reignots,Domaine du Comte Liger-Belair,2005
1335,Hundred Acre,Australia,Australian,Ancient Way Vineyard Summer's Block Shiraz,Hundred Acre,2006
1336,Château Rauzan-Gassies,France,Bordeaux Left Bank,Gassies Margaux,Château Rauzan-Gassies,2004
1338,Domaine Comte Georges de Vogüé,France,Burgundy,Chambolle-Musigny,Domaine Comte Georges de Vogüé,2019
1339,The Cave,Israel,Israeli,Old Vines,The Cave,2010
1342,Domaine de la Vougeraie,France,Burgundy,Bonnes Mares Grand Cru,Domaine de la Vougeraie,2006
1343,Quinta da Boavista,Portugal,Portuguese,Vinha do Oratório Vinhas Velhas,Quinta da Boavista,2017
1344,Le Chiuse,Italy,Italian,Diecianni Brunello di Montalcino Riserva,Le Chiuse,2012
1345,Domaine du Comte Liger-Belair,France,Burgundy,Echezeaux Grand Cru,Domaine du Comte Liger-Belair,2007
1346,Domaine Leroy,France,Burgundy,Vosne-Romanée 1er Cru 'Les Beaux Monts',Domaine Leroy,1996
1348,Bouchard Père & Fils,France,Burgundy,Chambertin-Clos-de-Beze Grand Cru,Bouchard Père & Fils,2013
1352,La Rioja Alta,Spain,Spanish,Rioja Gran Reserva 904,La Rioja Alta,1978
1353,Domaine Armand Rousseau,France,Burgundy,Gevrey-Chambertin 1er Cru Lavaux St. Jacques,Domaine Armand Rousseau,2015
1357,Domaine de la Vougeraie,France,Burgundy,Corton Grand Cru Le 'Clos du Roi',Domaine de la Vougeraie,2017
1358,Paul Autard,France,Southern Rhône,Cuvée La Côte Ronde Châteauneuf-du-Pape,Paul Autard,2018
1362,Domaine Dujac,France,Burgundy,Morey-Saint-Denis Premier Cru,Domaine Dujac,2015
1363,Domaine Tortochot,France,Burgundy,Chambertin Grand Cru,Domaine Tortochot,2015
1364,Henri Richard,France,Burgundy,Mazoyères-Chambertin Grand Cru,Henri Richard,2013
1365,Domaine Jacques Prieur,France,Burgundy,Chambertin Grand Cru,Domaine Jacques Prieur,2013
1368,Château Ausone,France,Bordeaux Right Bank,Chapelle d'Ausone Saint-Émilion Grand Cru,Château Ausone,2016
1370,Laurent Roumier,France,Burgundy,Clos-Vougeot Grand Cru,Laurent Roumier,2018
1372,Terroir Al Límit Soc. Lda,Spain,Spanish,Les Manyes,Terroir Al Límit Soc. Lda,2018
1373,Niepoort,Portugal,Portuguese,Douro Turris,Niepoort,2016
1377,Bouchard Père & Fils,France,Burgundy,Chapelle-Chambertin Grand Cru,Bouchard Père & Fils,2009
1378,Domaine Leroy,France,Burgundy,Richebourg Grand Cru,Domaine Leroy,1996
1382,Delas,France,Northern Rhône,La Landonne Côte-Rôtie,Delas,2017
1384,Domaine René Engel,France,Burgundy,Vosne-Romanée,Domaine René Engel,2000
1385,Sequoia Grove,United States,Napa Valley,Cabernet Sauvignon Lamoreaux Vineyard ,Sequoia Grove,2016
1390,Domaine de la Vougeraie,France,Burgundy,Charmes-Chambertin Grand Cru Les Mazoyères,Domaine de la Vougeraie,2017
1391,Domaine Comte Georges de Vogüé,France,Burgundy,Bonnes-Mares Grand Cru,Domaine Comte Georges de Vogüé,2018
1392,Hubert Lignier,France,Burgundy,Clos de la Roche Grand Cru,Hubert Lignier,2002
1393,Buglioni,Italy,Italian,Teste Dure Amarone Riserva,Buglioni,2015
1394,Domaine Trapet,France,Burgundy,Gevrey-Chambertin,Domaine Trapet,2000
1397,Méo-Camuzet,France,Burgundy,Nuits-Saint-Georges 1er Cru 'Aux Boudots',Méo-Camuzet,2018
1400,Domaine Jamet,France,Northern Rhône,Côte-Rôtie,Domaine Jamet,1996
1401,Domaine Taupenot-Merme,France,Burgundy,Mazoyères Chambertin Grand Cru,Domaine Taupenot-Merme,2012
1402,Comte Armand,France,Burgundy,Pommard 1er Cru 'Clos des Epeneaux' Monopole,Comte Armand,1995
1404,Hospices de Beaune,France,Burgundy,Santenay Cuvée Christine Friedberg,Hospices de Beaune,2014
1405,Domaine de la Vougeraie,France,Burgundy,Clos de Vougeot Grand Cru,Domaine de la Vougeraie,2018
1406,Domaine Denis Mortet,France,Burgundy,Clos de Vougeot Grand Cru,Domaine Denis Mortet,2011
1407,Quinta das Bágeiras,Portugal,Central Portugal,Fogueira,Quinta das Bágeiras,2004
1415,Méo-Camuzet,France,Burgundy,Richebourg Grand Cru,Méo-Camuzet,2008
1417,Black Stallion,United States,Californian,Bucephalus Red Blend,Black Stallion,2018
1421,Domaine Georges Mugneret-Gibourg,France,Burgundy,La Colombière Vosne-Romanée,Domaine Georges Mugneret-Gibourg,2018
1426,Bouchard Père & Fils,France,Burgundy,La Romanée Grand Cru,Bouchard Père & Fils,1990
1427,Quinta da Boavista,Portugal,Portuguese,Quinta da Boavista Vinha do Ujo Vinhas Velhas,Quinta da Boavista,2017
1435,Domaine Dujac,France,Burgundy,Bonnes-Mares Grand Cru,Domaine Dujac,2009
1436,Bruno Giacosa,Italy,Italian,Barbaresco Santo Stefano Riserva,Bruno Giacosa,1990
